archive_date,count_long_short_ratio,count_toptrader_long_short_ratio,create_time,source,sum_open_interest,sum_open_interest_value,sum_taker_long_short_vol_ratio,sum_toptrader_long_short_ratio,symbol
2025-05-25,,,2025-05-25 00:00:00,binance_coin_m_archive,22740897.00000000,21103.85023353,0.28430528,,BTCUSD_PERP
2025-05-26,,,2025-05-26 00:00:00,binance_coin_m_archive,23173745.00000000,21256.91328660,1.94621530,,BTCUSD_PERP
2025-05-27,,,2025-05-27 00:00:00,binance_coin_m_archive,22886272.00000000,20912.24017632,1.80423907,,BTCUSD_PERP
2025-05-28,,,2025-05-28 00:00:00,binance_coin_m_archive,22675297.00000000,20814.78799028,1.37024783,,BTCUSD_PERP
2025-05-29,,,2025-05-29 00:00:00,binance_coin_m_archive,23545357.00000000,21848.59360663,1.74663335,,BTCUSD_PERP
2025-05-30,,,2025-05-30 00:00:00,binance_coin_m_archive,24355462.00000000,23077.84919094,1.12996380,,BTCUSD_PERP
2025-05-31,,,2025-05-31 00:00:00,binance_coin_m_archive,24236204.00000000,23304.46806240,3.65506377,,BTCUSD_PERP
2025-06-01,,,2025-06-01 00:00:00,binance_coin_m_archive,23632824.00000000,22593.45718894,0.01906491,,BTCUSD_PERP
2025-06-02,,,2025-06-02 00:00:00,binance_coin_m_archive,23906290.00000000,22626.52258397,0.52745930,,BTCUSD_PERP
2025-06-03,,,2025-06-03 00:00:00,binance_coin_m_archive,23857938.00000000,22538.08519301,0.41610571,,BTCUSD_PERP
2025-06-04,,,2025-06-04 00:00:00,binance_coin_m_archive,23867936.00000000,22645.20013200,2.02246777,,BTCUSD_PERP
2025-06-05,,,2025-06-05 00:00:00,binance_coin_m_archive,24126822.00000000,23046.80003778,0.17170304,,BTCUSD_PERP
2025-06-06,,,2025-06-06 00:00:00,binance_coin_m_archive,24590020.00000000,24225.32887840,0.92638231,,BTCUSD_PERP
2025-06-07,,,2025-06-07 00:00:00,binance_coin_m_archive,23550231.00000000,22573.76290407,0.17816730,,BTCUSD_PERP
2025-06-08,,,2025-06-08 00:00:00,binance_coin_m_archive,23451572.00000000,22215.50149672,0.49802323,,BTCUSD_PERP
2025-06-09,,,2025-06-09 00:00:00,binance_coin_m_archive,22594858.00000000,21368.78142801,4.37688704,,BTCUSD_PERP
2025-06-10,,,2025-06-10 00:00:00,binance_coin_m_archive,21736645.00000000,19714.18399160,0.96151321,,BTCUSD_PERP
2025-06-11,,,2025-06-11 00:00:00,binance_coin_m_archive,22287511.00000000,20214.23853616,1.68634614,,BTCUSD_PERP
